id,speaker,text,next,choices,note
hwa1_01,주인공,너는 누구지?,hwa1_02,,
hwa1_02,화보스,나는 죽지 않는 불사의 새,hwa1_03,,
hwa1_03,주인공,"불사, 새.. 이번엔 자기소개 좀 구체적이군 너는 왜 내 세계에 나타났지?",hwa1_04,,
hwa1_04,화보스,나는 죽지 않아 어디에서도,hwa1_05,,
hwa1_05,주인공,무슨 말이지?,hwa1_06,,
hwa1_06,화보스,죽지 않는 존재라는 거지. 그에 반해 너는 한참 타락해있다.,hwa1_07,,
hwa1_07,주인공,너는 신인가?,hwa1_08,,
hwa1_08,화보스,신이라면 네 앞에 이렇게 모습을 드러낼 필요도 드러낼 수도 없을테지.,hwa1_09,,
hwa1_09,주인공,그럼 왜 내 앞에 나타났지?,hwa1_10,,
hwa1_10,화보스,나는 네가 아니야 그런건 스스로에게나 물어보라구,hwa1_11,,
hwa1_11,주인공,(작성중) 원문에 화자만 있고 대사 비어 있음,,,"도입 대사의 마지막 행. next 가 비어 있어 대화가 끝나고 전투가 시작된다."
hwa1_win,주인공,(그의 힘을 받아들일 것인가),,힘을 받아들인다:hwa1_win_geuk/거절한다:hwa1_win_saeng,"승리 확정 후 BossRoom 이 이 행부터 재생한다(victoryStartId=hwa1_win). 패배했을 때는 S13_BATTLE_LOSE 를 재생한다."
hwa1_win_geuk,화보스,아무것도 달라진건 없어.,hwa1_skill,,"극(剋) 승리 경로 — 보스의 힘을 받아들인다."
hwa1_skill,시스템,화 스킬을 획득하였습니다,,,"BossRoom 이 이 행 도달을 감지해 실제로 스킬을 지급하고 세이브한다."
hwa1_win_saeng,화보스,(작성중) 생(生)으로 승리 시 대사,hwa1_coin,,"생(生) 승리 경로 — 스킬을 거절한다."
hwa1_coin,시스템,의지 코인 5개를 얻었다,,,"BossRoom 이 이 행 도달을 감지해 의지 코인 5개를 지급하고 세이브한다."
